n,Clang++,Clang,Go,Rust,Clang++ (opt),Clang (opt),Go (opt),Rust (opt)
1000,0.956664800644,0.91200709343,1.01818299294,3.30416202545
2000,1.83189797401,1.76751995087,1.79744696617,6.36902594566
3000,2.70068216324,2.56175088882,2.54370689392,9.60887694359
4000,3.77621388435,3.30394697189,3.29647517204,12.9239690304
5000,4.38997197151,4.17625403404,4.12054014206,16.6231060028
6000,5.24480700493,4.94609093666,4.99328684807,19.6134479046
7000,6.17575216293,5.78100800514,5.64468002319,22.8281710148
8000,7.04971790314,6.62548995018,6.33447813988,26.1312048435
9000,8.00126290321,7.56758499146,7.15265989304,29.7456150055
10000,9.03049778938,8.45294904709,8.02093100548,33.2224040031
